Country,Cases,Death,Continent
Madagascar,"41,948",889,Africa
Bolivia,"406,954","15,542",South America
Belarus,"406,360","2,987",Europe
Kazakhstan,"402,239","4,171",Asia
Chad,"4,942",174,Africa
Eritrea,"4,848",16,Africa
United Kingdom,"4,565,813","127,904",Europe
Sierra Leone,"4,388",82,Africa
Gibraltar,"4,312",94,Europe
Italy,"4,244,872","127,002",Europe
Argentina,"4,124,190","85,343",South America
Channel Islands,"4,099",86,Europe
Barbados,"4,036",47,North America
Vanuatu,4,1,Australia/Oceania
Marshall Islands,4,0,Australia/Oceania
Paraguay,"391,436","10,834",South America
Slovakia,"391,038","12,441",Europe
Zimbabwe,"39,959","1,632",Africa
Panama,"387,842","6,444",North America
Cambodia,"38,969",348,Asia
Tunisia,"368,908","13,515",Africa
Angola,"36,705",831,Africa
Sudan,"36,304","2,732",Africa
Croatia,"358,581","8,152",Europe
Georgia,"354,276","5,060",Asia
DR Congo,"35,668",846,Africa
Malawi,"34,485","1,159",Africa
United States,"34,321,723","615,061",North America
Costa Rica,"339,900","4,322",North America
Uruguay,"338,513","4,995",South America
Azerbaijan,"335,196","4,955",Asia
Kuwait,"327,963","1,820",Asia
State of Palestine,"311,690","3,539",Asia
Cabo Verde,"31,615",275,Africa
Dominican Republic,"309,477","3,708",North America
Malta,"30,582",419,Europe
Australia,"30,262",910,Australia/Oceania
Comoros,"3,899",146,Africa
Guinea-Bissau,"3,803",69,Africa
Colombia,"3,753,224","95,778",South America
Spain,"3,733,600","80,501",Europe
Germany,"3,723,569","90,475",Europe
Iran,"3,039,432","82,217",Asia
Liechtenstein,"3,026",59,Europe
Samoa,3,0,Australia/Oceania
Denmark,"290,111","2,526",Europe
India,"29,548,012","375,185",Asia
Trinidad and Tobago,"28,723",670,North America
Rwanda,"28,373",370,Africa
Lithuania,"277,812","4,342",Europe
Ethiopia,"274,187","4,242",Africa
Egypt,"273,182","15,623",Africa
Guatemala,"271,703","8,455",North America
Réunion,"27,235",212,Africa
Holy See,27,0,Europe
Ireland,"266,819","4,941",Europe
Bahrain,"258,731","1,221",Asia
Slovenia,"256,467","4,406",Europe
Moldova,"255,830","6,154",Europe
Venezuela,"251,686","2,829",South America
French Guiana,"25,506",133,South America
Saint Pierre & Miquelon,25,0,North America
Brunei ,248,3,Asia
British Virgin Islands,248,1,North America
Honduras,"247,728","6,631",North America
Syria,"24,814","1,810",Asia
Gabon,"24,736",156,Africa
Oman,"236,440","2,532",Asia
Guinea,"23,398",167,Africa
Armenia,"223,723","4,488",Asia
Sri Lanka,"223,638","2,136",Asia
Qatar,"219,887",579,Asia
Bosnia and Herzegovina,"204,668","9,495",Europe
Mayotte,"20,176",173,Africa
Mauritania,"20,073",475,Africa
Montserrat,20,1,North America
Solomon Islands,20,0,Australia/Oceania
Poland,"2,877,608","74,574",Europe
New Zealand,"2,709",26,Australia/Oceania
Liberia,"2,535",93,Africa
Monaco,"2,525",33,Europe
Sint Maarten,"2,522",31,North America
Bermuda,"2,497",33,North America
Mexico,"2,454,176","230,148",North America
Turks and Caicos,"2,423",18,North America
Sao Tome & Principe,"2,358",37,Africa
Ukraine,"2,223,978","51,692",Europe
St. Vincent & Grenadines,"2,156",12,North America
Saint Martin,"2,040",12,North America
Laos,"2,010",3,Asia
Peru,"2,003,625","188,708",South America
Saint Helena,2,0,Africa
Thailand,"199,264","1,466",Asia
Libya,"189,284","3,165",Africa
Dominica,189,0,North America
French Polynesia,"18,930",142,Australia/Oceania
Eswatini,"18,736",676,Africa
Guyana,"18,386",426,South America
Suriname,"18,372",404,South America
Kenya,"175,337","3,410",Africa
Brazil,"17,413,996","487,476",South America
Nigeria,"167,066","2,117",Africa
Grenada,161,1,North America
Papua New Guinea,"16,682",165,Australia/Oceania
Guadeloupe,"16,608",225,North America
Haiti,"16,356",352,North America
Cuba,"157,708","1,087",North America
North Macedonia,"155,540","5,472",Europe
Saint Kitts & Nevis,155,0,North America
South Korea,"148,273","1,988",Asia
Myanmar,"145,826","3,248",Asia
Somalia,"14,817",774,Africa
Mali,"14,350",523,Africa
Latvia,"136,104","2,456",Europe
Algeria,"133,388","3,571",Africa
Albania,"132,459","2,453",Europe
Estonia,"130,538","1,266",Europe
Andorra,"13,826",127,Europe
Togo,"13,627",126,Africa
Burkina Faso,"13,459",167,Africa
Tajikistan,"13,308",90,Asia
Taiwan,"13,106",452,Asia
Norway,"128,198",789,Europe
New Caledonia,128,0,Australia/Oceania
Seychelles,"12,973",46,Africa
Belize,"12,938",325,North America
Curaçao,"12,295",123,North America
Congo,"12,121",160,Africa
Martinique,"12,110",98,North America
Bahamas,"12,092",236,North America
Zambia,"113,134","1,416",Africa
Kyrgyzstan,"110,829","1,899",Asia
Hong Kong,"11,878",210,Asia
Djibouti,"11,572",154,Africa
Aruba,"11,080",107,North America
Anguilla,109,0,North America
Uzbekistan,"103,813",708,Asia
Lesotho,"10,921",326,Africa
Vietnam,"10,810",59,Asia
South Sudan,"10,688",115,Africa
Western Sahara,10,1,Africa
Indonesia,"1,919,547","53,116",Asia
Bhutan,"1,813",1,Asia
South Africa,"1,747,082","57,765",Africa
Mauritius,"1,680",18,Africa
Netherlands,"1,673,596","17,714",Europe
Czech Republic (Czechia),"1,665,139","30,226",Europe
Caribbean Netherlands,"1,619",17,North America
Isle of Man,"1,599",29,Europe
Chile,"1,476,473","30,707",South America
Canada,"1,402,128","25,931",North America
Philippines,"1,322,053","22,845",Asia
Antigua and Barbuda,"1,263",42,North America
Iraq,"1,259,683","16,736",Asia
Fiji,"1,118",4,Australia/Oceania
Sweden,"1,083,456","14,537",Europe
Romania,"1,079,776","31,861",Europe
Belgium,"1,076,338","25,088",Europe
Saint Barthelemy,"1,005",1,North America
Micronesia,1,0,Australia/Oceania
